control_id,domaine,objectif,description,repo_status,evidence_files,code_refs,config_refs,test_refs,risks_if_missing,remediation,priority,owner,notes
NIS2-LOG-01,Journalisation,Collecte des logs,Collecte centralisée des logs système et applicatifs via Fluent Bit,covered,config/fluent-bit.conf,,,,"Absence de visibilité sur les événements sécurité","Maintenir la configuration Fluent Bit",P1,system,mTLS activé côté input ; tls.verify Off côté output (voir NIS2-TLS-02)
NIS2-LOG-02,Journalisation,Intégrité des logs,Signature HMAC-SHA256 sur chaque archive de log,covered,src/collectors/integrity.py,src/collectors/integrity.py:29-52,,tests/unit/test_integrity.py,"Falsification des logs probants","Maintenir la rotation et la signature",P1,system,compare_digest utilisé (protection timing attack)
NIS2-LOG-03,Journalisation,Rotation des logs,Rotation quotidienne avec compression gzip,covered,src/collectors/integrity.py,src/collectors/integrity.py:100-148,,tests/unit/test_integrity.py:106-166,"Perte de logs anciens non archivés","Maintenir la rotation",P1,system,Rotation vers archive/{YYYY/MM/DD}/
NIS2-LOG-04,Journalisation,Rétention configurable,Rétention paramétrable via LOG_RETENTION_DAYS,partial,docker-compose.yml,src/collectors/integrity.py:25,,tests/unit/test_integrity.py,"Perte de preuves avant délai légal","Porter LOG_RETENTION_DAYS=365 en défaut prod",P1,ops,Défaut 90j — ANSSI recommande 1 an minimum en production
NIS2-LOG-05,Journalisation,Audit trail pipeline,Traçabilité de chaque nœud LangGraph,covered,src/langgraph_pipeline/nodes.py,src/langgraph_pipeline/nodes.py:106-113,,tests/unit/test_nodes.py:115-120,"Impossibilité de retracer une analyse","Maintenir les audit_events",P1,system,Chaque nœud insère un audit_event horodaté
NIS2-LOG-06,Journalisation,Audit trail PostgreSQL,Table audit_trail immuable en base,partial,scripts/init_db.sql,src/collectors/pg_writer.py:98-114,scripts/init_db.sql:61-73,,"Traçabilité brisée si redémarrage API","Appeler insert_audit_event depuis l'API",P1,dev,Table définie mais non appelée depuis routes/analysis.py
NIS2-LOG-07,Journalisation,Persistance des rapports,Rapports d'analyse stockés en PostgreSQL,missing,,,scripts/init_db.sql:40-55,,"Perte de rapports au redémarrage","Remplacer _reports_store mémoire par pg_writer",P1,dev,_reports_store dict en mémoire : src/api/routes/analysis.py:26
NIS2-LOG-08,Journalisation,Logging structuré JSON,Logs applicatifs au format JSON structuré,covered,src/api/main.py,src/api/main.py:25-44,,,"Logs non exploitables par SIEM","Maintenir structlog",P2,dev,structlog JSONRenderer configuré
NIS2-DET-01,Détection,Détection d'anomalies par patterns,Pattern matching sur 7 types d'attaques (SSH BF / SQLi / path traversal...),covered,src/langgraph_pipeline/nodes.py,src/langgraph_pipeline/nodes.py:27-77,,tests/unit/test_nodes.py:147-210,"Attaques non détectées","Maintenir et enrichir les patterns IOC",P1,dev,Brute-force SSH / root login / port scan / SQLi / path traversal / 403 / privilege escalation
NIS2-DET-02,Détection,Score de risque,Score de risque agrégé [0.0-1.0] par analyse,covered,src/langgraph_pipeline/nodes.py,src/langgraph_pipeline/nodes.py:222-228,,tests/unit/test_nodes.py:195-210,"Escalade non déclenchée","Maintenir la logique de scoring",P1,dev,Score amplifié par fréquence
